timestamp,station,pm25,pm10,no2,o3,co,temperature,humidity,aqi_pm25,air_quality_category,hour,day_of_week,is_weekend,is_rush_hour,month,date,pollution_index
2025-08-25 01:35:47.162413,Estación_Centro,18.44965854082953,50.89765335510821,24.72484770585139,57.09598281190295,0.1940157103279067,15.82458280396084,60.59264473611897,63.62587669705909,Moderate,1,0,0,0,8,2025-08-25,0.3322421777547952
2025-08-25 02:35:47.162413,Estación_Centro,12.434037891093318,36.5120398652806,23.43261808108613,55.31424286661035,0.0,20.28468876827224,59.62072844310213,50.71681950878394,Moderate,2,0,0,0,8,2025-08-25,0.2310055831045739
2025-08-25 03:35:47.162413,Estación_Centro,17.66554790594224,35.638143886118414,24.56984197719221,71.82207909415081,0.3664985437311714,19.903538202225405,31.71942605576092,61.94323584966146,Moderate,3,0,0,0,8,2025-08-25,0.2986972574215102
2025-08-25 04:35:47.162413,Estación_Centro,13.876653378455645,38.49799596872338,32.486664084088495,49.696489744458006,0.5266901963502693,13.69708911051054,78.47923138822793,53.81256089797349,Moderate,4,0,0,0,8,2025-08-25,0.3163962559801079
2025-08-25 05:35:47.162413,Estación_Centro,18.147643660098154,49.61011089652905,21.299190035118645,46.51473874831555,0.4630318268454714,20.853921663164968,37.04621124873813,62.97777609463124,Moderate,5,0,0,0,8,2025-08-25,0.3466177574049605
2025-08-25 06:35:47.162413,Estación_Centro,21.672794662869265,64.09622867147746,49.06180593108901,56.90307782699871,0.59141633584714,12.317381190502594,73.15517129377967,70.54247781731603,Moderate,6,0,0,0,8,2025-08-25,0.47959069943854
2025-08-25 07:35:47.162413,Estación_Centro,29.00448800903868,98.4089708443688,61.51787041134799,19.87604417609254,0.8965684335374295,19.444298503238983,35.97971229691508,86.27572534128473,Moderate,7,0,0,1,8,2025-08-25,0.6819464247637774
2025-08-25 08:35:47.162413,Estación_Centro,32.054214759497704,97.14213642407849,69.30449109268076,38.93421979179029,0.7282614149959533,18.550820367170992,31.27095633720476,92.8202033465616,Moderate,8,0,0,1,8,2025-08-25,0.6951868215141785
2025-08-25 09:35:47.162413,Estación_Centro,29.45150216381908,97.8374172599148,70.16798730651996,24.169880573577046,0.5537418738625883,11.53959819657586,44.4875726456884,87.23498318416111,Moderate,9,0,0,1,8,2025-08-25,0.6659314267619576
2025-08-25 10:35:47.162413,Estación_Centro,16.888233617112384,63.28948403959512,51.22531147779837,50.53092322647389,0.5033193555708272,20.786844838313016,70.37200775820313,60.275179435863485,Moderate,10,0,0,0,8,2025-08-25,0.4439804123341391
2025-08-25 11:35:47.162413,Estación_Centro,22.81706023896117,58.80466012406963,39.90677679280172,44.28149728458348,0.6951635004261041,20.21494605155132,50.87055015743895,72.99798334541023,Moderate,11,0,0,0,8,2025-08-25,0.4626462454341897
2025-08-25 12:35:47.162413,Estación_Centro,22.90373961705596,54.31983620854413,39.646723402582616,52.48911779124619,0.4072045947279798,24.06037917790356,48.1814801189647,73.18399059454069,Moderate,12,0,0,0,8,2025-08-25,0.4203958526059315
